City_ID,City,Country,Max Temperature,Current Description,Latitude,Longitude,Hotel Name
1,Hithadhoo,MV,81.64,light rain,-0.6,73.0833,Scoop Guest House
2,Paita,PE,75.54,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
4,Hermanus,ZA,64.99,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
5,Mataura,NZ,70.48,clear sky,-46.1927,168.8643,Ellie's Villa
7,Begoro,GH,70.84,scattered clouds,6.3871,-0.3774,MR ODAME
8,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
12,Airai,TL,63.9,overcast clouds,-8.9266,125.4092,Juvinal Martin
14,Hilo,US,73.4,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
16,Ribeira Grande,PT,61.07,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
18,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
20,Tecoanapa,MX,77.23,overcast clouds,16.5167,-98.75,Hotel Manglares
22,Port Lincoln,AU,67.66,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
23,Nautla,MX,66.38,overcast clouds,20.2167,-96.7833,Casa Blanca
29,Bahia Blanca,AR,65.17,broken clouds,-38.7196,-62.2724,Hotel Argos
30,Cape Town,ZA,70.0,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
31,Dicabisagan,PH,70.54,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
32,East London,ZA,69.51,scattered clouds,-33.0153,27.9116,Tu Casa
34,Tuatapere,NZ,64.99,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
35,Butaritari,KI,80.46,light rain,3.0707,172.7902,Isles Sunset Lodge
38,Naliya,IN,61.02,clear sky,23.2667,68.8333,Hotel Panchvati
39,Guerrero Negro,MX,60.24,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
40,Etchoropo,MX,64.0,overcast clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
43,Bandarbeyla,SO,72.86,scattered clouds,9.4942,50.8122,JABIR HOTEL
44,Atuona,PF,78.46,few clouds,-9.8,-139.0333,Villa Enata
45,Killeen,US,59.0,clear sky,31.1171,-97.7278,Hilton Garden Inn Killeen
47,Rikitea,PF,80.47,scattered clouds,-23.1203,-134.9692,Pension Maro'i
49,Venkatagiri,IN,69.8,mist,13.9667,79.5833,Akhilesh house
51,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
53,Bredasdorp,ZA,67.89,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
54,Bambous Virieux,MU,79.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
55,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Champerico,GT,66.0,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
63,Busselton,AU,80.01,clear sky,-33.65,115.3333,Observatory Guest House
65,Saldanha,ZA,64.63,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
66,Port-Gentil,GA,80.28,overcast clouds,-0.7193,8.7815,Fengshui Residence
70,Lebu,CL,57.04,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
73,Pailon,BO,75.2,overcast clouds,-17.65,-62.75,Alojamiento pailon
77,Masvingo,ZW,66.6,light rain,-20.0637,30.8277,River Side Lodge
79,Darnah,LY,60.35,scattered clouds,32.766999999999996,22.6367,فندق الفردوس
82,Ahipara,NZ,67.82,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
85,Alta Floresta,BR,72.3,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
86,Caravelas,BR,74.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
89,Hobart,AU,72.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
90,Chuy,UY,67.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
96,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
98,Otane,NZ,64.0,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
