palestine,City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Current Description
0,Zaysan,KZ,47.4667,84.8667,0.73,89,85,0.63,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,81.64,76,42,12.86,light rain
2,Paita,PE,-5.0892,-81.1144,75.54,74,69,12.82,broken clouds
3,Leningradskiy,RU,69.3833,178.4167,-23.17,85,100,8.05,overcast clouds
4,Hermanus,ZA,-34.4187,19.2345,64.99,81,72,3.0,broken clouds
5,Mataura,NZ,-46.1927,168.8643,70.48,36,0,0.94,clear sky
6,Ushuaia,AR,-54.8,-68.3,42.8,75,75,17.27,broken clouds
7,Begoro,GH,6.3871,-0.3774,70.84,92,30,2.66,scattered clouds
8,Touros,BR,-5.1989,-35.4608,78.8,78,20,3.44,few clouds
9,Bluff,NZ,-46.6,168.3333,54.3,72,0,14.85,clear sky
10,Albany,US,42.6001,-73.9662,10.99,50,6,5.99,clear sky
11,Shakiso,ET,5.75,38.9167,52.34,65,0,3.62,clear sky
12,Airai,TL,-8.9266,125.4092,63.9,100,100,4.07,overcast clouds
13,Sitka,US,57.0531,-135.33,37.4,56,90,10.36,light snow
14,Hilo,US,19.7297,-155.09,73.4,88,90,3.44,moderate rain
15,Baykit,RU,61.67,96.37,-40.02,74,97,4.45,overcast clouds
16,Ribeira Grande,PT,38.5167,-28.7,61.07,82,91,25.21,overcast clouds
17,Yerbogachen,RU,61.2767,108.0108,-43.96,78,52,5.64,broken clouds
18,Avarua,CK,-21.2078,-159.775,84.2,70,57,5.75,light rain
19,Shieli,KZ,44.1667,66.75,28.53,81,85,6.78,overcast clouds
20,Tecoanapa,MX,16.5167,-98.75,77.23,77,98,3.27,overcast clouds
21,Fengzhen,CN,40.4394,113.1536,23.79,80,0,10.58,clear sky
22,Port Lincoln,AU,-34.7333,135.8667,67.66,54,27,13.35,scattered clouds
23,Nautla,MX,20.2167,-96.7833,66.38,81,100,3.74,overcast clouds
24,Saskylakh,RU,71.9167,114.0833,-38.6,76,0,2.42,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,46.4,81,90,19.57,overcast clouds
26,Wolgast,DE,54.05,13.7667,32.0,91,100,7.47,light snow
27,Tisul,RU,55.7611,88.3122,-10.91,89,100,9.33,overcast clouds
28,Yerofey Pavlovich,RU,53.9667,121.9667,-22.83,78,0,1.92,clear sky
29,Bahia Blanca,AR,-38.7196,-62.2724,65.17,59,70,10.51,broken clouds
30,Cape Town,ZA,-33.9258,18.4232,70.0,88,40,4.61,scattered clouds
31,Dicabisagan,PH,17.0818,122.4157,70.54,78,97,12.8,overcast clouds
32,East London,ZA,-33.0153,27.9116,69.51,71,27,2.53,scattered clouds
33,Jamestown,US,42.097,-79.2353,19.0,79,90,13.8,light snow
34,Tuatapere,NZ,-46.1333,167.6833,64.99,46,0,6.29,clear sky
35,Butaritari,KI,3.0707,172.7902,80.46,78,99,15.39,light rain
36,Woodburn,US,45.1437,-122.8554,45.0,76,90,5.75,overcast clouds
37,Khatanga,RU,71.9667,102.5,-42.93,75,0,3.51,clear sky
38,Naliya,IN,23.2667,68.8333,61.02,45,0,8.9,clear sky
39,Guerrero Negro,MX,27.9769,-114.0611,60.24,77,5,16.08,clear sky
40,Etchoropo,MX,26.7667,-109.6667,64.0,72,100,1.01,overcast clouds
41,Shimoda,JP,34.6667,138.95,44.6,49,40,4.61,scattered clouds
42,Leh,IN,34.1667,77.5833,-0.13,64,0,1.32,clear sky
43,Bandarbeyla,SO,9.4942,50.8122,72.86,73,26,11.18,scattered clouds
44,Atuona,PF,-9.8,-139.0333,78.46,80,11,17.34,few clouds
45,Killeen,US,31.1171,-97.7278,59.0,67,1,8.05,clear sky
46,Sisimiut,GL,66.9395,-53.6735,8.19,83,0,9.86,clear sky
47,Rikitea,PF,-23.1203,-134.9692,80.47,70,31,9.06,scattered clouds
48,Shikarpur,PK,27.9571,68.6379,44.6,87,0,4.56,mist
49,Venkatagiri,IN,13.9667,79.5833,69.8,83,40,0.85,mist
50,Hamilton,US,39.1834,-84.5333,28.0,68,1,3.44,clear sky
51,Vaini,TO,-21.2,-175.2,80.6,89,90,21.47,light rain
52,Talnakh,RU,69.4865,88.3972,-31.59,65,4,2.89,clear sky
53,Bredasdorp,ZA,-34.5322,20.0403,67.89,75,95,4.34,overcast clouds
54,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,75,4.61,broken clouds
55,Saint-Philippe,RE,-21.3585,55.7679,77.0,61,0,6.91,clear sky
56,Wana,PK,32.2989,69.5725,40.06,57,0,2.42,clear sky
57,Shitkino,RU,56.3703,98.3543,-15.45,87,100,3.49,overcast clouds
58,Merauke,ID,-8.4667,140.3333,83.12,80,100,16.11,overcast clouds
59,Champerico,GT,14.3,-91.9167,66.0,94,37,6.44,scattered clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,1,2.3,clear sky
61,Upernavik,GL,72.7868,-56.1549,-8.73,84,0,10.0,clear sky
