City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Clyde River,CA,2021-01-29 20:53:04,70.4692,-68.5914,-9.4,84,1,9.22
1,Morgan City,US,2021-01-29 20:53:04,29.6994,-91.2068,64.0,55,1,5.75
2,Mar Del Plata,AR,2021-01-29 20:53:05,-38.0023,-57.5575,80.6,39,75,12.66
3,Totness,SR,2021-01-29 20:53:05,5.8833,-56.3167,78.84,80,52,10.65
4,Dikson,RU,2021-01-29 20:53:05,73.5069,80.5464,-31.13,85,100,6.04
5,Tete,MZ,2021-01-29 20:53:05,-16.1564,33.5867,77.0,88,40,5.75
6,Batagay-Alyta,RU,2021-01-29 20:53:05,67.8006,130.4114,-28.88,81,100,1.57
7,Atuona,PF,2021-01-29 20:53:06,-9.8,-139.0333,78.67,77,3,19.15
8,Torbay,CA,2021-01-29 20:53:06,47.6666,-52.7314,28.0,93,90,20.71
9,Rikitea,PF,2021-01-29 20:53:06,-23.1203,-134.9692,79.88,67,97,6.49
10,Busselton,AU,2021-01-29 20:53:06,-33.65,115.3333,61.0,85,0,4.0
11,Pochutla,MX,2021-01-29 20:48:17,15.7432,-96.4661,91.99,43,40,9.22
12,Barrow,US,2021-01-29 20:52:47,71.2906,-156.7887,-11.2,70,90,10.36
13,Chalmette,US,2021-01-29 20:53:07,29.9427,-89.9634,59.0,51,1,4.61
14,Carnarvon,AU,2021-01-29 20:53:07,-24.8667,113.6333,78.8,89,2,6.91
15,Lufilufi,WS,2021-01-29 20:53:07,-13.8745,-171.5986,77.0,94,90,19.57
16,Rio Grande,BR,2021-01-29 20:51:31,-32.035,-52.0986,82.99,83,75,3.44
17,Veraval,IN,2021-01-29 20:53:08,20.9,70.3667,65.07,29,64,13.29
18,Iqaluit,CA,2021-01-29 20:53:08,63.7506,-68.5145,-13.0,70,1,18.41
19,Karasuk,RU,2021-01-29 20:53:08,53.7377,78.0403,12.81,97,91,8.03
20,Leningradskiy,RU,2021-01-29 20:53:08,69.3833,178.4167,-23.85,84,97,8.97
21,Tasiilaq,GL,2021-01-29 20:53:08,65.6145,-37.6368,17.6,86,75,21.85
22,Albany,US,2021-01-29 20:53:09,42.6001,-73.9662,17.01,43,64,5.99
23,Avarua,CK,2021-01-29 20:53:09,-21.2078,-159.775,84.2,79,20,8.05
24,Lata,PT,2021-01-29 20:53:09,40.1629,-8.3327,57.0,93,100,1.99
25,Punta Arenas,CL,2021-01-29 20:49:27,-53.15,-70.9167,50.0,62,75,23.02
26,Mataura,NZ,2021-01-29 20:53:10,-46.1927,168.8643,48.0,80,29,8.01
27,Hermanus,ZA,2021-01-29 20:53:10,-34.4187,19.2345,66.99,78,87,4.0
28,Yar-Sale,RU,2021-01-29 20:53:10,66.8333,70.8333,-41.37,80,16,4.56
29,Jamestown,US,2021-01-29 20:53:10,42.097,-79.2353,21.0,73,90,16.11
30,Sorland,NO,2021-01-29 20:53:10,67.667,12.6934,29.66,89,0,10.89
31,Hobart,AU,2021-01-29 20:51:52,-42.8794,147.3294,62.01,94,40,5.75
32,Bluff,NZ,2021-01-29 20:53:11,-46.6,168.3333,48.0,80,87,8.01
33,Hilo,US,2021-01-29 20:50:24,19.7297,-155.09,71.6,83,90,4.74
34,Ushuaia,AR,2021-01-29 20:51:19,-54.8,-68.3,41.0,75,75,25.32
35,Protivin,CZ,2021-01-29 20:53:11,49.1995,14.2172,43.0,93,100,15.99
36,Joao Pinheiro,BR,2021-01-29 20:53:12,-17.7425,-46.1725,78.51,60,94,2.57
37,Dingle,PH,2021-01-29 20:53:12,10.9995,122.6711,73.62,90,100,11.99
38,Goma,CD,2021-01-29 20:53:12,-1.6792,29.2228,63.19,76,52,2.73
39,Vaini,TO,2021-01-29 20:53:12,-21.2,-175.2,77.0,94,75,13.8
40,Hearst,CA,2021-01-29 20:53:13,49.6835,-83.6665,3.2,78,100,4.61
41,Klaksvik,FO,2021-01-29 20:53:13,62.2266,-6.589,33.8,64,75,9.22
42,Irbeyskoye,RU,2021-01-29 20:53:13,55.6428,95.4522,5.58,94,100,3.58
43,Richards Bay,ZA,2021-01-29 20:53:13,-28.783,32.0377,72.55,87,93,2.1
44,Arraial Do Cabo,BR,2021-01-29 20:53:14,-22.9661,-42.0278,82.4,65,0,19.57
45,Luganville,VU,2021-01-29 20:50:04,-15.5333,167.1667,81.81,78,97,2.57
46,Imbituba,BR,2021-01-29 20:53:14,-28.24,-48.6703,73.4,94,75,18.41
47,Naze,JP,2021-01-29 20:53:14,28.3667,129.4833,49.24,74,53,13.87
48,Namibe,AO,2021-01-29 20:53:14,-15.1961,12.1522,74.19,75,25,11.7
49,Christchurch,NZ,2021-01-29 20:53:14,-43.5333,172.6333,59.0,71,90,8.05
50,Port Hardy,CA,2021-01-29 20:50:00,50.6996,-127.4199,42.8,81,90,12.66
51,Perelyub,RU,2021-01-29 20:53:15,51.8667,50.3667,25.3,98,95,4.88
52,Komsomolskiy,UZ,2021-01-29 20:53:15,40.4272,71.7189,30.2,51,57,4.61
53,Slave Lake,CA,2021-01-29 20:53:15,55.2834,-114.769,1.4,78,1,11.5
54,Mahebourg,MU,2021-01-29 20:53:16,-20.4081,57.7,80.6,78,75,11.5
55,Kalmunai,LK,2021-01-29 20:53:16,7.4167,81.8167,75.47,90,99,8.59
56,Airai,TL,2021-01-29 20:49:26,-8.9266,125.4092,61.65,100,100,4.38
57,Ribeira Grande,PT,2021-01-29 20:53:16,38.5167,-28.7,60.8,77,20,8.05
58,Coihaique,CL,2021-01-29 20:49:24,-45.5752,-72.0662,62.6,39,20,11.5
59,Dukat,RU,2021-01-29 20:53:16,62.55,155.55,-31.45,82,100,3.58
60,Davidson,US,2021-01-29 20:49:36,36.1501,-86.7833,46.0,36,1,4.61
61,Broken Hill,AU,2021-01-29 20:53:17,-31.95,141.4333,66.2,68,0,16.11
62,Saint-Pierre,RE,2021-01-29 20:53:17,-21.3393,55.4781,78.8,65,0,4.61
63,Jiaojiang,CN,2021-01-29 20:53:17,28.6803,121.4428,37.0,65,0,2.82
64,Sulangan,PH,2021-01-29 20:53:17,11.1373,123.7228,79.32,81,100,28.25
65,Palu,ID,2021-01-29 20:53:18,-0.8917,119.8707,72.81,81,97,2.35
66,Cape Town,ZA,2021-01-29 20:51:22,-33.9258,18.4232,69.01,82,20,11.5
67,Krasnoselkup,RU,2021-01-29 20:53:18,65.7,82.4667,-30.23,81,46,6.35
68,Albanel,CA,2021-01-29 20:51:21,48.8832,-72.4487,6.8,72,100,12.66
69,Bethel,US,2021-01-29 20:53:18,41.3712,-73.414,19.4,45,1,16.11
